;meta[language=en]
; id      |key(hex)|key(str)| text
2111410500|00000000||Wúrh ywo Rr Ouwh, Viló ráz yw perúe.
2111410501|00000000||Rr ywo Wúrh Ouwhz, Viló ráz yw perúe.
2111410502|00000000||Wúrh ywo Rr Ouwh, ra Viló ráz yw perúe.
2111410503|00000000||Cariei fra wú summrle, Cariei fra yw igre.
2111410504|00000000||Cariei fra lé summrle, Cariei fra yw igre.
2111410505|00000000||Cariei fra lé summrle, Cariei fra Rr igre.
2111410506|00000000||sme-ril shró Tórmlor, fel hme-ril shré Káéhl.
2111410507|00000000||hme-ril Viló Tórmlor, fel sme-ril Viló Káéhl.
2111410508|00000000||hme-ril shré Tórmlor, fel sme-ril shró Káéhl.
2111410509|00000000||Spell’s written in demonic language. Should be able to recite it well enough, though...
2111410510|00000000||Segoríi dol, zolob fel ainóm</br>Shren Wamoló fra coqihlan, telesh miró.</br>Munó Sznué lé Grierezeh, wú Ara carépt.
2111410511|00000000||Wúrh ywo Rr Ouwh, Viló ráz yw perúe.
2111410512|00000000||Rr ywo Wúrh Ouwhz, Viló ráz yw perúe.
2111410513|00000000||Wúrh ywo Rr Ouwh, ra Viló ráz yw perúe.
2111410514|00000000||Munó glamóh shrén Munó lelahr, skeksi déf amóss.</br>Wúrh spebéhl rwlé dorshlégrie, yw Stabeh ril táet.
2111410515|00000000||Cariei fra wú summrle, Cariei fra yw igre.
2111410516|00000000||Cariei fra lé summrle, Cariei fra yw igre.
2111410517|00000000||Cariei fra lé summrle, Cariei fra Rr igre.
2111410518|00000000||Dárh muoímmué ghy demmoi-ré, bell shrén coléc.</br>Kílmu twrý dol asglu, dóshrén yv Thet, 
2111410519|00000000||sme-ril shró Tórmlor, fel hme-ril shré Káéhl.
2111410520|00000000||hme-ril Viló Tórmlor, fel sme-ril Viló Káéhl.
2111410521|00000000||hme-ril shré Tórmlor, fel sme-ril shró Káéhl.
2111410522|00000000||I should prepare and wait until midnight.
